Año,Carbon,Gas Natural,Nuclear,Hydro,"Eolica, solar, etc.",Biocombustiles y desechos,Petroleo,Unidades
1990,92913539,69601194,22002472,7715086,1533815,34882742,135541752,TJ
1991,90479837,71980548,23014695,7952094,1566735,35412715,136112486,TJ
1992,88968073,72036598,23200657,7955942,1638358,36093294,136920308,TJ
1993,89300890,73372331,23922612,8421231,1684133,36123596,137719611,TJ
1994,90096088,73351617,24485124,8498933,1761314,36586326,138625734,TJ
1995,92502374,75496501,25459860,8924396,1786196,37144213,141499766,TJ
1996,93993930,78181613,26392176,9038861,1893863,37704175,145148194,TJ
1997,93151504,79053006,26127198,9153456,1934477,38093224,148840921,TJ
1998,92918912,79750091,26694200,9197431,2058384,38236790,149407547,TJ
1999,93243374,83326492,27627617,9228770,2259370,38726622,152630549,TJ
2000,96969897,86603606,28280459,9427156,2530395,37918132,154187960,TJ
2001,98373654,87105492,28796724,9227933,2596209,37563426,155716800,TJ
2002,101664019,89841470,29048507,9486544,2484995,38233755,157404891,TJ
2003,109428207,93295652,28771344,9534265,2624270,39019577,160982523,TJ
2004,118274720,95875007,29892180,10137828,2819119,39783120,166972157,TJ
2005,125280027,98652846,30216369,10584939,2951206,40598379,168721100,TJ
2006,132759931,101096766,30474812,10968275,3160364,41542840,170800070,TJ
2007,139807062,105542675,29693234,11116183,3463723,42144077,172355407,TJ
2008,141740264,108218080,29843200,11570628,3763934,42868129,171808191,TJ
2009,141330022,106144892,29437059,11778969,4208980,43109091,168491277,TJ
2010,152908425,114571310,30091061,12439354,4614732,44572019,173839340,TJ
2011,160036649,116659142,28196755,12663008,5311684,44549726,174230712,TJ
2012,161363947,118842792,26863253,13261233,5935717,45676493,175887340,TJ
2013,163360235,121251500,27071301,13732836,6883118,46878051,176708643,TJ
2014,165306351,121210525,27686803,14027377,7637404,47311282,179616150,TJ
2015,160884761,122498648,28063288,14046066,8544353,47562110,181964503,TJ
2016,156055760,126753296,28481552,14545391,9529451,48409112,185048662,TJ
2017,158953031,130205220,28783492,14697482,10893395,49433985,188495119,TJ
2018,162243816,136215945,29580946,15163635,12250459,50860091,188857070,TJ
2019,162037946,138730344,30465719,15332764,13523215,51703344,190563173,TJ
2020,157526573,137812280,29222752,15687313,14937327,52048390,172919377,TJ
2021,168821083,145573377,30715643,15479208,16778507,53768551,183232675,TJ
2022,171902932,143897186,29320058,15660642,19018259,54482802,187902349,TJ
